question,query
Veritabanındaki adı AI Conference olan konferansların numaralarını yazdır.,SELECT numara WHERE ad EQL AI Conference
Veritabanındaki numarası 1 olan öğrencilerin soyadlarını yazdır.,SELECT soyad WHERE numara EQL 1
Adı Istanbul Sabiha Gokcen Havalimani olan havalimanlarının toplam uçaklarını getir.,SELECT toplam_ucak WHERE ad EQL Istanbul Sabiha Gokcen Havalimani
Veritabanındaki kodu 204060 olan müşterilerin şehirlerini yazdır.,SELECT sehir WHERE kod EQL 204060
Tüm şarkıların sanatçılarını listele.,SELECT sanatci
Tüm uçakların sadece hızlarını göster.,SELECT hiz
Veritabanındaki numarası 1 olan pilotların numaralarını yazdır.,SELECT numara WHERE numara EQL 1
Veritabanındaki soyadı Garcia olan çalışanların numaralarını yazdır.,SELECT numara WHERE soyad EQL Garcia
Yöneticiler tablosunda en büyük numara kaçtır?,SELECT max(numara)
Telefonlardan çip modeli A15 olan telefonların numaralarını göster.,SELECT numara WHERE cip_modeli EQL A15
Cinsiyeti Male olan pilotların adlarını getir.,SELECT ad WHERE cinsiyet EQL Male
Kurucusu Union Pacific Corporation olan demiryollarının kurucularını bul.,SELECT kurucu WHERE kurucu EQL Union Pacific Corporation
Hasta tablosu içerisinde bulunan numaraları ekrana getir.,SELECT numara
Çıkış tarihi 1900 olan tüm şarkıların numaralarını getir.,SELECT numara WHERE cikis_tarihi EQL 1900
Uçuşlardan varış tarihi 19/05/2022 14:00 olan uçuşların varış tarihlerini getir.,SELECT varis_tarihi WHERE varis_tarihi EQL 19/05/2022 14:00
Mağazalar tablosundan adı A Giyim olan mağazaların numaralarını getir.,SELECT numara WHERE ad EQL A Giyim
Tüm öğrencilerin sadece cinsiyetlerini göster.,SELECT cinsiyet
Tren tablosu içerisinde bulunan varışları ekrana getir.,SELECT varis
Sürücülerden adı Thomas olan sürücülerin adlarını göster.,SELECT ad WHERE ad EQL Thomas
Uçuşlar tablosundan kalkış tarihi 19/05/2022 13:00 olan uçuşların başlangıçlarını getir.,SELECT baslangic WHERE kalkis_tarihi EQL 19/05/2022 13:00
Şehirler tablosunda adı Istanbul olan şehirlerin alanlarını getir.,SELECT alan WHERE ad EQL Istanbul
Müzelerden adı Gallery of Earth olan müzelerin adlarını göster.,SELECT ad WHERE ad EQL Gallery of Earth
Uçaklardan açıklaması Airbus A340-600 olan uçakların hızlarını getir.,SELECT hiz WHERE aciklama EQL Airbus A340-600
Personeller tablosundan cinsiyeti Male olan personellerin telefonlarını getir.,SELECT telefon WHERE cinsiyet EQL Male
Veritabanındaki başlığı Esaretin Bedeli olan filmlerin numaralarını yazdır.,SELECT numara WHERE baslik EQL Esaretin Bedeli
Yayıncısı Elsevier olan yayınların yayıncılarını listele.,SELECT yayinci WHERE yayinci EQL Elsevier
Telefonu 2122121212 olan tüm müşterilerin kodlarını getir.,SELECT kod WHERE telefon EQL 2122121212
Bütün derslerin adlarını göster.,SELECT ad
Bütün trenlerin numaralarını getir.,SELECT numara
Bütün yüzücülerin adlarını getir.,SELECT ad
Numarası 1 olan cihazların versiyonlarını listele.,SELECT versiyon WHERE numara EQL 1
Havalimanlarından toplam uçağı 660 olan havalimanlarının iç yolcularını getir.,SELECT ic_yolcu WHERE toplam_ucak EQL 660
Mimarlardan numarası 1 olan mimarların numaralarını getir.,SELECT numara WHERE numara EQL 1
Veritabanındaki kayıdı 01/05/2015 olan hemşirelerin kayıtlarını yazdır.,SELECT kayit WHERE kayit EQL 01/05/2015
Ürünlerden fiyatı 120 olan ürünlerin fiyatlarını göster.,SELECT fiyat WHERE fiyat EQL 120
Veritabanındaki başlığı Esaretin Bedeli olan filmlerin başlıklarını yazdır.,SELECT baslik WHERE baslik EQL Esaretin Bedeli
Numarası 1 olan uçakların hızlarını getir.,SELECT hiz WHERE numara EQL 1
Hemşirelerin adlarını getir.,SELECT ad
Havalimanlarından uluslararası yolcusu 35858 olan havalimanlarının adlarını göster.,SELECT ad WHERE uluslararasi_yolcu EQL 35858
Doğum tarihi 01/04/1990 olan insanların numaralarını bul.,SELECT numara WHERE dogum_tarihi EQL 01/04/1990
Telefonu 1 352-295-8921 olan hastaların adlarını bul.,SELECT ad WHERE telefon EQL 1 352-295-8921
Telefonlar tablosunda numarası 1 olan telefonların çip modellerini getir.,SELECT cip_modeli WHERE numara EQL 1
Veritabanındaki yaşı 30 olan yöneticilerin yaşlarını yazdır.,SELECT yas WHERE yas EQL 30
Trenler tablosunda adı Andaman Exp olan trenlerin kalkışlarını getir.,SELECT kalkis WHERE ad EQL Andaman Exp
Telefonlar tablosundan ekran modu Big olan telefonların çip modellerini getir.,SELECT cip_modeli WHERE ekran_modu EQL Big
Uçuşlar tablosunda başlangıcı Istanbul olan uçuşların mesafelerini getir.,SELECT mesafe WHERE baslangic EQL Istanbul
Öğrenciler tablosundan şehiri New York olan öğrencilerin şehirlerini getir.,SELECT sehir WHERE sehir EQL New York
Demiryolları tablosundan kurucusu Union Pacific Corporation olan demiryollarının numaralarını getir.,SELECT numara WHERE kurucu EQL Union Pacific Corporation
Trenlerden numarası 1 olan trenlerin adlarını getir.,SELECT ad WHERE numara EQL 1
Çiftlikler tablosundan koyun sayısı 5 olan çiftliklerin keçi sayılarını getir.,SELECT keci_sayisi WHERE koyun_sayisi EQL 5
Yazarların numaralarını göster.,SELECT numara
En büyük telefon numarasını göster.,SELECT max(numara)
Alanı 5343 olan şehirlerin numaralarını bul.,SELECT numara WHERE alan EQL 5343
Veritabanındaki soyadı Smith olan öğrencilerin şehirlerini yazdır.,SELECT sehir WHERE soyad EQL Smith
Veritabanındaki tüm uçakların açıklamalarını yazdır.,SELECT aciklama
Veritabanındaki tüm çiftliklerin koyun sayılarını yazdır.,SELECT koyun_sayisi
Şarkılardan numarası 1 olan şarkıların sanatçılarını getir.,SELECT sanatci WHERE numara EQL 1
Çiftlikler tablosundaki en büyük domuz sayısını göster.,SELECT max(domuz_sayisi)
Oyunlar tablosunda en büyük numara kaçtır?,SELECT max(numara)
Toplamda kaç ürün olduğunu göster.,SELECT count(numara)
Başlığı Artificial Intelligence olan yayınların alıntılarını bul.,SELECT alinti WHERE baslik EQL Artificial Intelligence
Iç yolcusu 63648 olan havalimanlarının toplam uçaklarını bul.,SELECT toplam_ucak WHERE ic_yolcu EQL 63648
Ülkesi America olan yöneticilerin ülkelerini bul.,SELECT ulke WHERE ulke EQL America
Tüm mağazaların numaralarını listele.,SELECT numara
Veritabanındaki inek sayısı 10 olan çiftliklerin keçi sayılarını yazdır.,SELECT keci_sayisi WHERE inek_sayisi EQL 10
Bütün yarışların yıllarını göster.,SELECT yil
Tüm çiftliklerin at sayılarını listele.,SELECT at_sayisi
Kayıdı 01/05/2015 olan hemşirelerin numaralarını getir.,SELECT numara WHERE kayit EQL 01/05/2015
Sinemalardan kapasitesi 140 olan sinemaların adlarını getir.,SELECT ad WHERE kapasite EQL 140
Uçuşlar tablosundan numarası TK1919 olan uçuşların mesafelerini getir.,SELECT mesafe WHERE kod EQL TK1919
Veritabanındaki numarası 1 olan kitapların başlıklarını yazdır.,SELECT baslik WHERE numara EQL 1
Şehirler tablosundan numarası 1 olan şehirlerin nüfuslarını getir.,SELECT nufus WHERE numara EQL 1
Yayınlardan yılı 2021 olan yayınların yayıncılarını getir.,SELECT yayinci WHERE yil EQL 2021
Tarihi 13/01/2018 olan tüm randevuların numaralarını getir.,SELECT numara WHERE tarih EQL 13/01/2018
Ülkesi Fransa olan tüm sanatçıların numaralarını getir.,SELECT numara WHERE ulke EQL Fransa
Yaşı 30 olan yöneticilerin ülkelerini listele.,SELECT ulke WHERE yas EQL 30
Müzelerin numaralarını getir.,SELECT numara
Numarası 20202020 olan tüm sürücülerin tiplerini getir.,SELECT tip WHERE kod EQL 20202020
Kalkış tarihi 19/05/2022 13:00 olan uçuşların mesafelerini listele.,SELECT mesafe WHERE kalkis_tarihi EQL 19/05/2022 13:00
Çiftliklerden boğa sayısı 5 olan çiftliklerin inek sayılarını göster.,SELECT inek_sayisi WHERE boga_sayisi EQL 5
Çiftliklerden inek sayısı 10 olan çiftliklerin numaralarını göster.,SELECT numara WHERE inek_sayisi EQL 10
Yaşı 34 olan pilotların numaralarını getir.,SELECT numara WHERE yas EQL 34
Şarkılar tablosunda numarası 1 olan şarkıların ülkelerini getir.,SELECT ulke WHERE numara EQL 1
Tüm çiftliklerin keçi sayılarını görüntüle.,SELECT keci_sayisi
Adı Camp Nou olan stadyumların şehirlerini listele.,SELECT sehir WHERE ad EQL Camp Nou
Kitaplardan yazarı Dan Brown olan kitapların numaralarını getir.,SELECT numara WHERE yazar EQL Dan Brown
Adı Richard olan tüm öğretmenlerin yaşlarını getir.,SELECT yas WHERE ad EQL Richard
Uyruğu Alman olan oyuncuların adlarını listele.,SELECT ad WHERE uyruk EQL Alman
Uluslararası yolcusu 35858 olan havalimanlarının adlarını listele.,SELECT ad WHERE uluslararasi_yolcu EQL 35858
Yöneticiler tablosunda numarası 1 olan yöneticilerin numaralarını getir.,SELECT numara WHERE numara EQL 1
Domuz sayısı 2 olan çiftliklerin at sayılarını listele.,SELECT at_sayisi WHERE domuz_sayisi EQL 2
Toplam öğretmen sayısı nedir?,SELECT count(numara)
Tüm uçuşların sadece varışlarını göster.,SELECT varis
Adı Lisa olan hemşirelerin numaralarını getir.,SELECT numara WHERE ad EQL Lisa
Tüm insanların doğum tarihlerini getir.,SELECT dogum_tarihi
Mağazalardan adı A Giyim olan mağazaların konumlarını göster.,SELECT konum WHERE ad EQL A Giyim
Sigortası MAPFRE olan tüm hastaların numaralarını getir.,SELECT numara WHERE sigorta EQL MAPFRE
Yarış tablosu içinde kaç tane yarış kaydı olduğunu ekrana getir.,SELECT count(numara)
Veritabanındaki konumu Beykoz/Istanbul olan köprülerin numaralarını yazdır.,SELECT numara WHERE konum EQL Beykoz/Istanbul
Veritabanındaki ülkesi Almanya olan arabaların beygir güçlerini yazdır.,SELECT beygir_gucu WHERE ulke EQL Almanya
En büyük çiftlik at sayısını listele.,SELECT max(at_sayisi)
Tüm sinemaların numaralarını getir.,SELECT numara
E-postası ****@gmail.com olan müşterilerin kodlarını listele.,SELECT kod WHERE eposta EQL ****@gmail.com
Yayınların başlıklarını göster.,SELECT baslik
Çiftliklerin numaralarını göster.,SELECT numara
Veritabanındaki konferanslardan en büyük numarayı yazdır.,SELECT max(numara)
Açılış yılı 2010 olan müzelerin personel sayılarını getir.,SELECT personel_sayisi WHERE acilis_yili EQL 2010
Hemşireler tablosunda kayıdı 01/05/2015 olan hemşirelerin numaralarını getir.,SELECT numara WHERE kayit EQL 01/05/2015
Yayınların yıllarını getir.,SELECT yil
Yöneticiler tablosundan adı Anthony olan yöneticilerin adlarını getir.,SELECT ad WHERE ad EQL Anthony
Telefonu 1 505-644-9320 olan personellerin soyadlarını listele.,SELECT soyad WHERE telefon EQL 1 505-644-9320
Ülkesi Türkiye olan şarkıların türlerini getir.,SELECT tur WHERE ulke EQL Türkiye
Telefonlardan ülkesi Amerika olan telefonların ülkelerini getir.,SELECT ulke WHERE ulke EQL Amerika
Uçuşlardan varışı Ankara olan uçuşların mesafelerini getir.,SELECT mesafe WHERE varis EQL Ankara
Koyun sayısı 5 olan tüm çiftliklerin domuz sayılarını getir.,SELECT domuz_sayisi WHERE koyun_sayisi EQL 5
Veritabanındaki konumu Omaha - Nebraska - ABD olan demiryollarının demiryollarını yazdır.,SELECT demiryolu WHERE konum EQL Omaha - Nebraska - ABD
Cinsiyeti Erkek olan çalışanların maaşlarını listele.,SELECT maas WHERE cinsiyet EQL Erkek
Uçuşlardan varışı Ankara olan uçuşların başlangıçlarını getir.,SELECT baslangic WHERE varis EQL Ankara
Kaç oyun var?,SELECT count(numara)
Havalimanları tablosundan iç yolcusu 63648 olan havalimanlarının adlarını getir.,SELECT ad WHERE ic_yolcu EQL 63648
Restoranlardan numarası 1 olan restoranların derecelerini getir.,SELECT derece WHERE numara EQL 1
Veritabanındaki başlangıcı Istanbul olan uçuşların numaralarını yazdır.,SELECT numara WHERE baslangic EQL Istanbul
Adı David olan öğrencilerin yaşlarını listele.,SELECT yas WHERE ad EQL David
Numarası 1 olan tüm uçuşların numaralarını getir.,SELECT numara WHERE numara EQL 1
Numarası 1 olan projelerin başlangıç tarihlerini getir.,SELECT baslangic_tarihi WHERE numara EQL 1
Çiftliklerden en büyük keçi sayısını getir.,SELECT max(keci_sayisi)
Insanlar tablosunda doğum tarihi 01/04/1990 olan insanların boylarını getir.,SELECT boy WHERE dogum_tarihi EQL 01/04/1990
Numarası 1 olan pilotların cinsiyetlerini bul.,SELECT cinsiyet WHERE numara EQL 1
Demiryolu tablosu içinde kaç tane demiryolu kaydı olduğunu ekrana getir.,SELECT count(numara)
Miktarı 100 olan stokların numaralarını bul.,SELECT numara WHERE miktar EQL 100
Cihazlar tablosunda cihazı Apple olan cihazların numaralarını getir.,SELECT numara WHERE cihaz EQL Apple
Uçuşlardan numarası TK1919 olan uçuşların kalkış tarihlerini getir.,SELECT kalkis_tarihi WHERE kod EQL TK1919
Veritabanındaki trenlerin sayısını yazdır.,SELECT count(numara)
Yarışlar tablosunda en büyük numara kaçtır?,SELECT max(numara)
Stadyumların şehirlerini getir.,SELECT sehir
Numarası 1 olan tüm yazarların numaralarını getir.,SELECT numara WHERE numara EQL 1
Konferanslardan numarası 1 olan konferansların adlarını göster.,SELECT ad WHERE numara EQL 1
Sürücülerden numarası 1 olan sürücülerin numaralarını göster.,SELECT numara WHERE numara EQL 1
Numarası 1 olan öğrencilerin adlarını getir.,SELECT ad WHERE numara EQL 1
Soyadı Lee olan tüm sürücülerin numaralarını getir.,SELECT numara WHERE soyad EQL Lee
Şarkılardan türü Slow olan şarkıların numaralarını göster.,SELECT numara WHERE tur EQL Slow
Kapasitesi 140 olan sinemaların kapasitelerini listele.,SELECT kapasite WHERE kapasite EQL 140
Toplam uçağı 660 olan havalimanlarının numaralarını getir.,SELECT numara WHERE toplam_ucak EQL 660
Bütün hastaların sigortalarını göster.,SELECT sigorta
Numarası 1 olan restoranların numaralarını bul.,SELECT numara WHERE numara EQL 1
Arabalardan yılı 1926 olan arabaların numaralarını göster.,SELECT numara WHERE yil EQL 1926
Boyu 1.80 olan tüm insanların kilolarını getir.,SELECT kilo WHERE boy EQL 1.80
Şarkılar tablosunda dili Turkce olan şarkıların türlerini getir.,SELECT tur WHERE dil EQL Turkce
Veritabanındaki numarası 1 olan yayınların alıntılarını yazdır.,SELECT alinti WHERE numara EQL 1
Turu 4 olan tüm yarışların tarihlerini getir.,SELECT tarih WHERE tur EQL 4
Sigortası MAPFRE olan hastaların telefonlarını getir.,SELECT telefon WHERE sigorta EQL MAPFRE
Tüm yöneticilerin düzeylerini listele.,SELECT duzey
Veritabanındaki numarası 1 olan dergilerin adlarını yazdır.,SELECT ad WHERE numara EQL 1
Nüfusu 15000000 olan şehirlerin nüfuslarını bul.,SELECT nufus WHERE nufus EQL 15000000
Adı Joseph olan tüm personellerin numaralarını getir.,SELECT numara WHERE ad EQL Joseph
Veritabanındaki tüm öğrencilerin yaşlarını yazdır.,SELECT yas
Veritabanındaki tüm yarışların yıllarını yazdır.,SELECT yil
Oyuncular tablosundan numarası 1 olan oyuncuların uyruklarını getir.,SELECT uyruk WHERE numara EQL 1
Veritabanındaki tüm öğretmenlerin numaralarını yazdır.,SELECT numara
Veritabanındaki modeli iPhone olan telefonların modellerini yazdır.,SELECT model WHERE model EQL iPhone
Dili Turkce olan şarkıların sanatçılarını bul.,SELECT sanatci WHERE dil EQL Turkce
Uyruğu Ingiliz olan tüm sürücülerin tiplerini getir.,SELECT tip WHERE uyruk EQL Ingiliz
Stadyumlar tablosunda numarası 1 olan stadyumların açılış yıllarını getir.,SELECT acilis_yili WHERE numara EQL 1
Çalışanlardan soyadı Garcia olan çalışanların maaşlarını göster.,SELECT maas WHERE soyad EQL Garcia
Kaç şarkı var?,SELECT count(numara)
Öğrenciler tablosundan numarası 1 olan öğrencilerin numaralarını getir.,SELECT numara WHERE numara EQL 1
Stadyumlardan açılış yılı 1957 olan stadyumların adlarını getir.,SELECT ad WHERE acilis_yili EQL 1957
En büyük stadyum numarasını göster.,SELECT max(numara)
Veritabanındaki numarası 1 olan çalışanların soyadlarını yazdır.,SELECT soyad WHERE numara EQL 1
Adı Fatih Sultan Mehmet Koprusu olan tüm köprülerin numaralarını getir.,SELECT numara WHERE ad EQL Fatih Sultan Mehmet Koprusu
Çiftlikler tablosundaki en büyük at sayısını getir.,SELECT max(at_sayisi)
Veritabanındaki numarası 1 olan yarışların turlarını yazdır.,SELECT tur WHERE numara EQL 1
Versiyonu 15 olan cihazların versiyonlarını getir.,SELECT versiyon WHERE versiyon EQL 15
Veritabanındaki adı Richard olan öğretmenlerin şehirlerini yazdır.,SELECT sehir WHERE ad EQL Richard
Yöneticiler tablosundan adı Anthony olan yöneticilerin yaşlarını getir.,SELECT yas WHERE ad EQL Anthony
Tüm öğretmenleri say.,SELECT count(numara)
Tüm köprülerin uzunluklarını listele.,SELECT uzunluk
Başlangıcı Istanbul olan uçuşların varış tarihlerini getir.,SELECT varis_tarihi WHERE baslangic EQL Istanbul
Beygir gücü 163 olan arabaların modellerini bul.,SELECT model WHERE beygir_gucu EQL 163
Uçuşlar tablosundan varış tarihi 19/05/2022 14:00 olan uçuşların varışlarını getir.,SELECT varis WHERE varis_tarihi EQL 19/05/2022 14:00
Veritabanındaki tüm hastaların sigortalarını yazdır.,SELECT sigorta
Trenlerin varışlarını getir.,SELECT varis
Toplam tren sayısını göster.,SELECT count(numara)
Tüm sinemaların yerlerini görüntüle.,SELECT yer
Müzelerden açılış yılı 2010 olan müzelerin açılış yıllarını getir.,SELECT acilis_yili WHERE acilis_yili EQL 2010
Mimarlardan numarası 1 olan mimarların uyruklarını göster.,SELECT uyruk WHERE numara EQL 1
Adı Minecraft olan oyunların kategorilerini getir.,SELECT kategori WHERE ad EQL Minecraft
Numarası 1 olan personellerin cinsiyetlerini listele.,SELECT cinsiyet WHERE numara EQL 1
Fiyatı 120 olan ürünlerin kodlarını getir.,SELECT kod WHERE fiyat EQL 120
Adı Joseph olan personellerin telefonlarını getir.,SELECT telefon WHERE ad EQL Joseph
Insanlardan kilosu 82 olan insanların boylarını getir.,SELECT boy WHERE kilo EQL 82
Numarası 1 olan sürücülerin adlarını listele.,SELECT ad WHERE numara EQL 1
Veritabanındaki adı Michael olan insanların numaralarını yazdır.,SELECT numara WHERE ad EQL Michael
Veritabanındaki tüm yöneticilerin adlarını yazdır.,SELECT ad
Personellerden adı Joseph olan personellerin telefonlarını göster.,SELECT telefon WHERE ad EQL Joseph
Telefonlar tablosundan modeli iPhone olan telefonların ülkelerini getir.,SELECT ulke WHERE model EQL iPhone
Sinemalar tablosundan kapasitesi 140 olan sinemaların numaralarını getir.,SELECT numara WHERE kapasite EQL 140
Pilotlardan cinsiyeti Male olan pilotların adlarını göster.,SELECT ad WHERE cinsiyet EQL Male
Öğrenciler tablosunda adı David olan öğrencilerin soyadlarını getir.,SELECT soyad WHERE ad EQL David
Müşterilerden kodu 204060 olan müşterilerin şehirlerini göster.,SELECT sehir WHERE kod EQL 204060
Tüm yarışların sadece adlarını göster.,SELECT ad
Şarkılardan çıkış tarihi 1900 olan şarkıların çıkış tarihlerini göster.,SELECT cikis_tarihi WHERE cikis_tarihi EQL 1900
Yazarı Dan Brown olan kitapların kategorilerini getir.,SELECT kategori WHERE yazar EQL Dan Brown
Köprülerden konumu Beykoz/Istanbul olan köprülerin uzunluklarını getir.,SELECT uzunluk WHERE konum EQL Beykoz/Istanbul
Yöneticilerin adlarını getir.,SELECT ad
E-postası ****@gmail.com olan tüm müşterilerin şehirlerini getir.,SELECT sehir WHERE eposta EQL ****@gmail.com
Yılı 2021 olan yayınların alıntılarını listele.,SELECT alinti WHERE yil EQL 2021
Arabalar tablosundan modeli Mercedes olan arabaların numaralarını getir.,SELECT numara WHERE model EQL Mercedes
Stadyumlar tablosunda açılış yılı 1957 olan stadyumların numaralarını getir.,SELECT numara WHERE acilis_yili EQL 1957
Şehiri Barcelona olan tüm stadyumların kapasitelerini getir.,SELECT kapasite WHERE sehir EQL Barcelona
Pozisyonu Clinical Nurse olan tüm hemşirelerin kayıtlarını getir.,SELECT kayit WHERE pozisyon EQL Clinical Nurse
Sinemalar tablosunda kapasitesi 140 olan sinemaların adlarını getir.,SELECT ad WHERE kapasite EQL 140
Toplam insan sayısını getir.,SELECT count(numara)
En büyük telefon numarasını listele.,SELECT max(numara)
Veritabanındaki ülkesi Amerika olan telefonların çip modellerini yazdır.,SELECT cip_modeli WHERE ulke EQL Amerika
Uyruğu Ingiliz olan sürücülerin uyruklarını bul.,SELECT uyruk WHERE uyruk EQL Ingiliz
Numarası 1 olan yüzücülerin numaralarını bul.,SELECT numara WHERE numara EQL 1
Müşteriler tablosunda telefonu 2122121212 olan müşterilerin şehirlerini getir.,SELECT sehir WHERE telefon EQL 2122121212
Sürücüler tablosundan adı Thomas olan sürücülerin soyadlarını getir.,SELECT soyad WHERE ad EQL Thomas
Sürücülerden soyadı Lee olan sürücülerin numaralarını getir.,SELECT numara WHERE soyad EQL Lee
Şarkılar tablosundan numarası 1 olan şarkıların türlerini getir.,SELECT tur WHERE numara EQL 1
Iç yolcusu 63648 olan tüm havalimanlarının adlarını getir.,SELECT ad WHERE ic_yolcu EQL 63648
Havalimanlarının toplam uçaklarını getir.,SELECT toplam_ucak
Öğrencilerden cinsiyeti Erkek olan öğrencilerin adlarını göster.,SELECT ad WHERE cinsiyet EQL Erkek
Numarası 1 olan köprülerin konumlarını listele.,SELECT konum WHERE numara EQL 1
Tüm stadyumların adlarını getir.,SELECT ad
Toplam uçağı 660 olan havalimanlarının iç yolcularını listele.,SELECT ic_yolcu WHERE toplam_ucak EQL 660
Numarası 1 olan tüm sürücülerin uyruklarını getir.,SELECT uyruk WHERE numara EQL 1
Veritabanındaki çıkış tarihi 1900 olan şarkıların numaralarını yazdır.,SELECT numara WHERE cikis_tarihi EQL 1900
Adı Pazarlama olan departmanların adlarını bul.,SELECT ad WHERE ad EQL Pazarlama
Öğrencilerden soyadı Smith olan öğrencilerin şehirlerini göster.,SELECT sehir WHERE soyad EQL Smith
Randevulardan tarihi 13/01/2018 olan randevuların tarihlerini göster.,SELECT tarih WHERE tarih EQL 13/01/2018
Çiftlikler tablosundan boğa sayısı 5 olan çiftliklerin boğa sayılarını getir.,SELECT boga_sayisi WHERE boga_sayisi EQL 5
En büyük kulüp numarasını getir.,SELECT max(numara)
Adı John olan mimarların numaralarını listele.,SELECT numara WHERE ad EQL John
Numarası 1 olan şarkıların sanatçılarını bul.,SELECT sanatci WHERE numara EQL 1
Yöneticiler tablosunda numarası 1 olan yöneticilerin düzeylerini getir.,SELECT duzey WHERE numara EQL 1
Veritabanındaki adı Leonardo da Vinci olan sanatçıların numaralarını yazdır.,SELECT numara WHERE ad EQL Leonardo da Vinci
Veritabanındaki restoranların sayısını yazdır.,SELECT count(numara)
En büyük havalimanı numarasını listele.,SELECT max(numara)
Cinsiyeti Male olan pilotların yaşlarını getir.,SELECT yas WHERE cinsiyet EQL Male
Konumu Beykoz/Istanbul olan köprülerin uzunluklarını listele.,SELECT uzunluk WHERE konum EQL Beykoz/Istanbul
Hastalar tablosundan telefonu 1 352-295-8921 olan hastaların adlarını getir.,SELECT ad WHERE telefon EQL 1 352-295-8921
Domuz sayısı 2 olan tüm çiftliklerin at sayılarını getir.,SELECT at_sayisi WHERE domuz_sayisi EQL 2
Adı Michael Phelps olan yüzücülerin adlarını listele.,SELECT ad WHERE ad EQL Michael Phelps
Bütün havalimanlarının adlarını getir.,SELECT ad
Ülkesi Amerika olan telefonların ülkelerini getir.,SELECT ulke WHERE ulke EQL Amerika
Açılış yılı 2010 olan tüm müzelerin numaralarını getir.,SELECT numara WHERE acilis_yili EQL 2010
Şarkılardan sanatçısı Muzeyyen Senar olan şarkıların sanatçılarını göster.,SELECT sanatci WHERE sanatci EQL Muzeyyen Senar
Veritabanındaki yeri Izmir olan sinemaların kapasitelerini yazdır.,SELECT kapasite WHERE yer EQL Izmir
Yarış tablosu içerisinde bulunan yılları ekrana getir.,SELECT yil
Numarası 1 olan mağazaların açılış yıllarını getir.,SELECT acilis_yili WHERE numara EQL 1
Toplam ders sayısı nedir?,SELECT count(numara)
Tüm telefonların ülkelerini görüntüle.,SELECT ulke
Ülkesi Almanya olan tüm arabaların ülkelerini getir.,SELECT ulke WHERE ulke EQL Almanya
Adı Satranc olan kulüplerin numaralarını bul.,SELECT numara WHERE ad EQL Satranc
Demiryolları tablosundan demiryolu Union Pacific Railroad olan demiryollarının numaralarını getir.,SELECT numara WHERE demiryolu EQL Union Pacific Railroad
E-postası ****@gmail.com olan müşterilerin telefonlarını getir.,SELECT telefon WHERE eposta EQL ****@gmail.com
Numarası 1 olan restoranların tiplerini getir.,SELECT tip WHERE numara EQL 1
Veritabanındaki tüm yöneticilerin numaralarını yazdır.,SELECT numara
Toplam yolcusu 475 olan uçakların hızlarını bul.,SELECT hiz WHERE toplam_yolcu EQL 475
Tüm mimarların adlarını görüntüle.,SELECT ad
Sürücü sayısını getir.,SELECT count(numara)
Sinemaların yerlerini getir.,SELECT yer
Tüm şehirlerin alanlarını görüntüle.,SELECT alan
Tüm şehirlerin numaralarını getir.,SELECT numara
Tüm şarkıların sadece adlarını göster.,SELECT ad
Bütün öğrencilerin adlarını getir.,SELECT ad
Uçaklar tablosunda numarası 1 olan uçakların numaralarını getir.,SELECT numara WHERE numara EQL 1
Çiftliklerden numarası 1 olan çiftliklerin numaralarını göster.,SELECT numara WHERE numara EQL 1
Tüm yayınların alıntılarını getir.,SELECT alinti
Tüm trenlerin sadece adlarını göster.,SELECT ad
Çalışanlardan soyadı Garcia olan çalışanların maaşlarını getir.,SELECT maas WHERE soyad EQL Garcia
Uçak tablosu içinde kaç tane uçak kaydı olduğunu ekrana getir.,SELECT count(numara)
Yazarı Dan Brown olan kitapların numaralarını listele.,SELECT numara WHERE yazar EQL Dan Brown
Tüm öğrencilerin cinsiyetlerini görüntüle.,SELECT cinsiyet
Arabalar tablosunda modeli Mercedes olan arabaların modellerini getir.,SELECT model WHERE model EQL Mercedes
Ülkesi Fransa olan sanatçıların cinsiyetlerini bul.,SELECT cinsiyet WHERE ulke EQL Fransa
Yarışların turlarını göster.,SELECT tur
Adı Richard olan öğretmenlerin şehirlerini getir.,SELECT sehir WHERE ad EQL Richard
Toplam film sayısı nedir?,SELECT count(numara)
Numarası 1 olan sanatçıların numaralarını getir.,SELECT numara WHERE numara EQL 1
Kitaplardan yazarı Dan Brown olan kitapların numaralarını göster.,SELECT numara WHERE yazar EQL Dan Brown
Bütün telefonların numaralarını göster.,SELECT numara
Toplam konferans sayısı nedir?,SELECT count(numara)
Yöneticilerden ülkesi America olan yöneticilerin düzeylerini göster.,SELECT duzey WHERE ulke EQL America
Tüm müzelerin adlarını getir.,SELECT ad
Tüm öğretmenlerin sadece şehirlerini göster.,SELECT sehir
At sayısı 2 olan çiftliklerin keçi sayılarını getir.,SELECT keci_sayisi WHERE at_sayisi EQL 2
Adı Gallery of Earth olan tüm müzelerin açılış yıllarını getir.,SELECT acilis_yili WHERE ad EQL Gallery of Earth
Adı A Giyim olan tüm mağazaların adlarını getir.,SELECT ad WHERE ad EQL A Giyim
Şarkılar tablosundan türü Slow olan şarkıların dillerini getir.,SELECT dil WHERE tur EQL Slow
Adı Camp Nou olan stadyumların kapasitelerini bul.,SELECT kapasite WHERE ad EQL Camp Nou
Başlangıcı Istanbul olan tüm uçuşların mesafelerini getir.,SELECT mesafe WHERE baslangic EQL Istanbul
